complaint_id,complaint_text,category,department,status,customer_id,date_received,date_resolved
59,The new infrastructure upgrade has improved things significantly.,,Maintenance,In Progress,CUST4262,2025-05-27 10:48:00,
60,I was overcharged on my last bill and no one is responding.,,Billing,Closed,CUST7790,2025-04-16 08:39:00,2025-04-19 02:13:32
61,There is clear favoritism and under-the-table dealing happening.,,Administration,Resolved,CUST1090,2025-04-23 16:24:00,2025-04-30 18:07:30
62,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Closed,CUST8611,2025-09-08 09:11:00,2025-09-14 21:00:28
63,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Open,CUST9702,2025-11-04 16:29:00,
64,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Closed,CUST7991,2025-12-15 18:39:00,2025-12-17 03:56:56
65,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Closed,CUST5050,2025-06-06 10:47:00,2025-06-12 01:23:07
66,An official demanded a bribe before processing my documents.,,Administration,Resolved,CUST2269,2025-09-17 11:31:00,2025-09-22 19:26:49
67,There is a major leakage that has not been fixed for weeks.,,Maintenance,Resolved,CUST4788,2025-05-11 16:57:00,2025-05-11 17:57:00
68,No technician has visited despite multiple requests.,Service Delay,Operations,Resolved,CUST7812,2025-08-03 09:26:00,2025-08-09 02:01:05
69,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST7232,2025-06-25 08:37:00,2025-06-27 17:18:46
70,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST9818,2025-05-13 10:54:00,2025-05-16 06:07:02
71,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,In Progress,CUST1475,2025-10-08 13:31:00,
72,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Closed,CUST9751,2025-09-27 15:29:00,2025-10-03 03:50:44
73,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Open,CUST8564,2025-07-22 21:01:00,
74,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,In Progress,CUST7211,2025-06-07 09:29:00,
75,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Open,CUST6733,2025-04-03 12:30:00,
76,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Closed,CUST4266,2025-09-21 10:02:00,2025-09-26 06:27:35
77,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Closed,CUST4571,2025-03-05 10:30:00,2025-03-11 22:38:27
78,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Resolved,CUST2876,2025-09-06 13:38:00,2025-09-09 01:10:27
79,No safety measures are in place despite previous warnings.,,Security,Open,CUST7149,2025-12-04 06:37:00,
80,No technician has visited despite multiple requests.,,Operations,Resolved,CUST5941,2025-02-23 10:53:00,2025-02-28 01:39:00
81,There is clear favoritism and under-the-table dealing happening.,,Administration,Closed,CUST8018,2025-10-26 08:36:00,2025-11-02 08:41:34
82,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Closed,CUST2729,2025-07-11 12:00:00,2025-07-23 15:25:32
83,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST9548,2025-08-27 09:29:00,2025-08-31 07:08:20
84,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Resolved,CUST5397,2025-08-18 15:49:00,2025-08-20 05:17:00
85,No technician has visited despite multiple requests.,,Operations,Closed,CUST8613,2025-10-03 14:17:00,2025-10-05 18:59:40
86,Very unprofessional behavior from the officer on duty.,Staff Behavior,Customer Support,In Progress,CUST6813,2025-05-16 13:54:00,
87,I witnessed a near-accident due to lack of proper signage.,Safety Concern,Security,Closed,CUST9464,2025-05-20 07:44:00,2025-05-23 07:58:11
88,I want to thank the team for resolving my issue so quickly.,,Customer Support,Resolved,CUST8800,2025-04-14 09:31:00,2025-04-15 18:22:44
89,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,In Progress,CUST4986,2025-06-01 06:05:00,
90,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,In Progress,CUST6419,2025-06-18 14:33:00,
91,I have been waiting since last month for this issue to be fixed.,,Operations,Open,CUST2958,2025-05-09 15:14:00,
92,No safety measures are in place despite previous warnings.,Safety Concern,Security,In Progress,CUST9595,2025-03-24 02:30:00,
93,The road near the facility is damaged and causing accidents.,,Maintenance,Resolved,CUST9751,2025-10-10 13:14:00,2025-10-21 01:09:36
94,I was overcharged on my last bill and no one is responding.,,Billing,Closed,CUST9042,2025-12-18 09:18:00,2025-12-19 09:49:14
95,I was overcharged on my last bill and no one is responding.,,Billing,Resolved,CUST1841,2025-07-16 15:30:00,2025-07-19 03:24:52
96,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Resolved,CUST1878,2025-02-03 08:25:00,2025-02-08 00:41:30
97,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,Open,CUST4697,2025-12-03 10:15:00,
98,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Closed,CUST6003,2025-06-15 08:19:00,2025-06-20 07:36:11
99,The staff at the counter was extremely rude to me today.,,Customer Support,Closed,CUST4457,2025-08-24 16:06:00,2025-08-26 04:39:03
100,It has been three weeks and my complaint is still not resolved.,,Operations,Open,CUST8381,2025-03-06 13:35:00,
101,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,Closed,CUST8438,2025-05-08 13:18:00,2025-05-15 19:20:26
102,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Resolved,CUST4241,2025-12-26 18:50:00,2025-12-28 14:52:50
103,The staff member was polite and handled my issue very well.,,Customer Support,In Progress,CUST1977,2025-04-05 18:58:00,
104,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Closed,CUST8679,2025-08-27 14:36:00,2025-08-28 14:51:01
105,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Resolved,CUST1653,2025-12-17 15:34:00,2025-12-21 13:55:48
106,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Open,CUST1339,2025-05-09 18:01:00,
107,"The new online system has made things much easier, well done.",Appreciation,Customer Support,In Progress,CUST8245,2025-07-25 18:48:00,
108,"Excellent service today, very satisfied with the response.",Appreciation,Customer Support,Closed,CUST8700,2025-12-14 16:40:00,2025-12-15 10:08:18
109,The response time for service requests is unacceptably slow.,Service Delay,Operations,In Progress,CUST9117,2025-05-04 08:54:00,
110,I have been waiting since last month for this issue to be fixed.,,Operations,Resolved,CUST6296,2025-10-18 18:02:00,2025-10-24 05:10:53
111,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST7770,2025-11-27 14:00:00,2025-11-29 17:21:24
112,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,Resolved,CUST4335,2025-06-25 15:31:00,2025-06-26 16:09:10
113,No technician has visited despite multiple requests.,,Operations,Closed,CUST4920,2025-12-15 14:56:00,2025-12-22 02:11:21
114,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Open,CUST2858,2025-07-18 09:26:00,
115,The staff at the counter was extremely rude to me today.,,Customer Support,Closed,CUST5479,2025-08-05 10:31:00,2025-08-07 07:01:37
116,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Resolved,CUST9327,2025-12-08 16:29:00,2025-12-15 14:43:31
117,No safety measures are in place despite previous warnings.,Safety Concern,Security,Closed,CUST9318,2025-11-09 14:49:00,2025-11-13 23:40:36
118,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST9022,2025-05-10 13:53:00,2025-05-15 02:06:16
119,An official demanded a bribe before processing my documents.,Corruption/Bribery,Administration,Resolved,CUST8460,2025-07-12 10:21:00,2025-07-16 19:07:32
120,"Excellent service today, very satisfied with the response.",Appreciation,Customer Support,Resolved,CUST7730,2025-12-08 09:36:00,2025-12-09 08:51:35
121,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST3492,2025-08-26 18:24:00,2025-08-29 00:57:00
122,The staff at the counter was extremely rude to me today.,Staff Behavior,Customer Support,Closed,CUST8213,2025-03-19 14:21:00,2025-03-22 14:43:28
123,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST2225,2025-01-05 14:26:00,2025-01-08 18:20:28
124,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Resolved,,2025-05-23 12:25:00,2025-05-27 06:26:09
125,The response time for service requests is unacceptably slow.,,Operations,Closed,CUST2121,2025-08-25 10:31:00,2025-08-28 17:22:23
126,The response time for service requests is unacceptably slow.,,Operations,Resolved,CUST2646,2025-12-24 03:05:00,2025-12-26 23:40:49
127,The employee refused to help and was arguing instead of assisting.,,Customer Support,Closed,CUST7141,2025-11-02 19:20:00,2025-11-06 09:13:42
128,I was treated very disrespectfully by the customer support agent.,,Customer Support,Closed,CUST2293,2025-07-19 20:43:00,2025-07-22 14:16:51
129,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Closed,CUST8555,2025-08-08 02:31:00,2025-08-18 19:38:12
130,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,Closed,CUST9955,2025-04-01 19:57:00,2025-04-11 17:48:32
131,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST5097,2025-12-19 21:19:00,2025-12-21 19:55:06
132,The employee refused to help and was arguing instead of assisting.,,Customer Support,Resolved,CUST6881,2025-04-13 17:54:00,2025-04-15 17:30:44
133,The equipment at the site is old and frequently malfunctions.,,Maintenance,Resolved,CUST1803,2025-01-27 17:42:00,2025-01-31 00:30:43
134,"Great job by the support team, issue resolved within a day.",Appreciation,Customer Support,Closed,CUST6772,2025-10-10 10:49:00,2025-10-11 12:52:19
135,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Closed,CUST3240,2025-08-22 19:48:00,2025-08-23 19:52:54
136,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Resolved,CUST2476,2025-05-15 15:02:00,2025-05-21 00:19:29
137,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Open,CUST6994,2025-09-06 14:12:00,
138,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST5835,2025-10-09 22:58:00,2025-10-13 03:23:38
139,I witnessed a near-accident due to lack of proper signage.,Safety Concern,Security,Open,CUST7511,2025-10-15 08:04:00,
140,"The new online system has made things much easier, well done.",,Customer Support,In Progress,CUST7038,2025-02-13 13:00:00,
141,The equipment at the site is old and frequently malfunctions.,,Maintenance,Closed,CUST4830,2025-07-27 17:40:00,2025-08-07 23:27:44
142,The staff member was polite and handled my issue very well.,,Customer Support,Closed,CUST2035,2025-11-18 15:20:00,2025-11-22 22:02:23
143,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Resolved,CUST1609,2025-11-10 11:41:00,2025-11-21 20:05:35
144,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Resolved,CUST7078,2025-02-08 16:56:00,2025-02-12 11:56:45
145,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,In Progress,CUST2622,2025-06-24 17:46:00,
146,There is clear favoritism and under-the-table dealing happening.,,Administration,Closed,CUST8285,2025-06-09 18:02:00,2025-06-17 06:56:10
147,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Resolved,CUST6876,2025-02-22 16:23:00,2025-02-25 05:22:10
148,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST4475,2025-03-04 14:54:00,2025-03-07 09:13:00
149,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,In Progress,CUST4362,2025-12-02 18:50:00,
150,The online payment portal charged me twice for the same bill.,,Billing,Closed,CUST3417,2025-04-07 10:52:00,2025-04-09 23:22:24
151,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,Closed,CUST3858,2025-01-28 11:09:00,2025-02-01 11:05:26
152,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,Closed,CUST1258,2025-03-12 05:50:00,2025-03-13 13:23:58
153,I was overcharged on my last bill and no one is responding.,,Billing,Open,CUST8344,2025-03-14 12:33:00,
154,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,In Progress,CUST9543,2025-08-15 13:32:00,
155,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST9032,2025-01-16 10:54:00,2025-01-20 15:00:08
156,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Resolved,CUST5505,2025-02-03 05:20:00,2025-02-11 19:44:57
157,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,Closed,CUST8433,2025-07-11 17:24:00,2025-07-17 01:57:01
158,Very unprofessional behavior from the officer on duty.,Staff Behavior,Customer Support,Closed,CUST4522,2025-02-23 13:07:00,2025-02-26 03:28:26
159,I was treated very disrespectfully by the customer support agent.,Staff Behavior,Customer Support,Resolved,CUST6120,2025-06-27 16:29:00,2025-07-01 08:18:40
160,The employee refused to help and was arguing instead of assisting.,,Customer Support,Closed,CUST2398,2025-06-05 07:43:00,2025-06-06 19:06:56
161,I was overcharged on my last bill and no one is responding.,,Billing,Open,CUST6400,2025-09-12 06:51:00,
162,Poor maintenance of the facility is causing repeated problems.,Infrastructure,Maintenance,Resolved,CUST1842,2025-05-22 13:48:00,2025-06-07 01:18:55
163,"The new online system has made things much easier, well done.",Appreciation,Customer Support,In Progress,CUST4674,2025-05-19 15:32:00,
164,An official demanded a bribe before processing my documents.,Corruption/Bribery,Administration,Closed,CUST8030,2025-10-12 22:07:00,2025-10-20 18:09:06
165,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Open,CUST5381,2025-08-21 13:35:00,
166,"There is a billing error, I already paid but it still shows unpaid.",,Billing,In Progress,CUST3347,2025-08-10 10:58:00,
167,Very unprofessional behavior from the officer on duty.,,Customer Support,Closed,CUST9691,2025-02-24 16:40:00,2025-02-27 03:51:54
168,Why is the late fee applied when I paid on time?,,Billing,In Progress,CUST2391,2025-06-06 07:23:00,
169,I was asked to pay extra money to get my work done faster.,,Administration,Closed,CUST7947,2025-03-20 04:03:00,2025-03-22 05:54:07
170,Very unprofessional behavior from the officer on duty.,,Customer Support,Resolved,CUST2816,2025-06-07 21:48:00,2025-06-11 12:20:37
171,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Open,CUST1897,2025-07-22 11:19:00,
172,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST2965,2025-12-25 09:08:00,2025-12-28 01:45:20
173,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST6802,2025-03-13 08:34:00,2025-03-15 14:40:04
174,I was overcharged on my last bill and no one is responding.,,Billing,Open,CUST8033,2025-06-15 15:58:00,
175,Poor maintenance of the facility is causing repeated problems.,,Maintenance,Closed,CUST8538,2025-05-13 14:01:00,2025-05-16 13:02:18
176,An official demanded a bribe before processing my documents.,Corruption/Bribery,Administration,In Progress,CUST9584,2025-02-28 10:06:00,
177,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST2868,2025-09-08 20:21:00,2025-09-11 03:35:38
178,I was treated very disrespectfully by the customer support agent.,Staff Behavior,Customer Support,Closed,CUST3419,2025-11-12 14:22:00,2025-11-17 13:55:32
179,No technician has visited despite multiple requests.,Service Delay,Operations,In Progress,CUST2234,2025-04-06 11:38:00,
180,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST6295,2025-06-19 09:48:00,2025-06-22 10:07:28
181,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Resolved,CUST5500,2025-05-15 01:04:00,2025-05-19 12:36:23
182,The equipment at the site is old and frequently malfunctions.,,Maintenance,Resolved,CUST5703,2025-07-10 08:29:00,2025-07-20 03:59:19
183,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,Resolved,CUST1672,2025-08-17 12:24:00,2025-08-20 03:16:22
184,The staff member was polite and handled my issue very well.,,Customer Support,Resolved,CUST2013,2025-08-11 08:38:00,2025-08-11 09:38:00
185,The employee refused to help and was arguing instead of assisting.,,Customer Support,Resolved,CUST8172,2025-12-03 09:32:00,2025-12-05 04:01:51
186,"Excellent service today, very satisfied with the response.",,Customer Support,Resolved,CUST1857,2025-06-10 11:24:00,2025-06-12 03:04:16
187,I witnessed a near-accident due to lack of proper signage.,,Security,Closed,CUST3463,2025-02-04 14:35:00,2025-02-06 05:05:53
188,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Closed,CUST7421,2025-08-12 06:19:00,2025-08-20 03:29:52
189,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,Closed,CUST9624,2025-05-13 13:41:00,2025-05-14 10:06:53
190,Why is the late fee applied when I paid on time?,Billing Issue,Billing,In Progress,CUST6598,2025-07-01 17:23:00,
191,"Great job by the support team, issue resolved within a day.",Appreciation,Customer Support,Open,CUST2657,2025-03-05 14:09:00,
192,The staff member was polite and handled my issue very well.,Staff Behavior,Customer Support,Closed,CUST3147,2025-10-17 08:02:00,2025-10-20 13:45:58
193,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST3712,2025-03-27 04:44:00,2025-04-02 12:42:57
194,There are serious safety hazards at the site that need urgent attention.,Safety Concern,Security,In Progress,CUST5668,2025-06-22 14:46:00,
195,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Closed,CUST4178,2025-04-08 19:19:00,2025-04-09 17:00:39
196,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,In Progress,CUST9641,2025-12-15 14:49:00,
197,No technician has visited despite multiple requests.,,Operations,Open,CUST8873,2025-10-26 12:38:00,
198,There is clear favoritism and under-the-table dealing happening.,,Administration,Resolved,CUST2374,2025-12-23 13:54:00,2026-01-02 00:43:56
199,I witnessed a near-accident due to lack of proper signage.,,Security,Closed,CUST4637,2025-06-17 20:09:00,2025-06-22 05:57:56
200,I witnessed a near-accident due to lack of proper signage.,Safety Concern,Security,Resolved,CUST7326,2025-12-14 18:03:00,2025-12-18 08:08:38
201,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Open,CUST6493,2025-04-11 09:59:00,
202,No safety measures are in place despite previous warnings.,,Security,Closed,CUST8685,2025-01-27 07:30:00,2025-01-31 11:36:56
203,The staff at the counter was extremely rude to me today.,,Customer Support,In Progress,CUST9647,2025-11-01 07:16:00,
204,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,In Progress,CUST8489,2025-04-04 10:03:00,
205,Why is the late fee applied when I paid on time?,,Billing,Resolved,CUST3352,2025-08-01 17:40:00,2025-08-03 05:42:39
206,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST2402,2025-08-08 03:36:00,2025-08-11 23:18:37
207,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Resolved,CUST1333,2025-02-17 08:34:00,2025-02-21 09:02:06
208,I have been waiting since last month for this issue to be fixed.,,Operations,In Progress,CUST2106,2025-01-13 15:23:00,
209,It has been three weeks and my complaint is still not resolved.,,Operations,In Progress,CUST9945,2025-09-24 14:48:00,
210,,Service Delay,Operations,Closed,CUST3986,2025-10-22 17:29:00,2025-10-29 08:30:02
211,There are serious safety hazards at the site that need urgent attention.,,Security,In Progress,CUST4268,2025-09-15 10:02:00,
212,An official demanded a bribe before processing my documents.,Corruption/Bribery,Administration,Closed,CUST5150,2025-12-17 09:25:00,2025-12-25 05:11:39
213,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Open,CUST5476,2025-05-28 16:49:00,
214,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Resolved,CUST6554,2025-06-13 16:47:00,2025-06-15 16:22:55
215,"Great job by the support team, issue resolved within a day.",,Customer Support,Closed,CUST2353,2025-08-12 11:59:00,2025-08-13 13:06:34
216,There are serious safety hazards at the site that need urgent attention.,,Security,Resolved,CUST2311,2025-06-27 16:11:00,2025-07-02 05:52:43
217,The response time for service requests is unacceptably slow.,Service Delay,Operations,Resolved,CUST6759,2025-05-20 17:45:00,2025-05-25 08:02:41
218,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Resolved,CUST1939,2025-08-14 11:17:00,2025-08-18 11:03:19
219,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Closed,CUST3339,2025-06-26 08:47:00,2025-06-29 00:24:09
220,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Open,CUST7001,2025-09-02 18:08:00,
221,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Resolved,CUST8273,2025-01-05 13:43:00,2025-01-09 12:36:13
222,Thank you for quickly fixing the safety issue I reported earlier.,,Security,In Progress,CUST2858,2025-03-12 18:25:00,
