complaint_id,stage_order,department,action,routed_correctly,comment,stage_timestamp,resolution_status
8,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Staff Behavior.",2025-03-13 02:35:37.217658,
8,3,Customer Support,Reviewed,True,Completed the requested action successfully.,2025-03-16 18:14:00.535420,Resolved
9,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-08 09:31:10.879009,
9,2,Operations,Forwarded (Incorrect),False,"Not within our scope, sending to the relevant department.",2025-07-08 14:11:00.876042,
9,3,Maintenance,Forwarded (Re-routed),True,Re-routed from Operations; now correctly assigned for Infrastructure.,2025-07-09 09:11:30.385897,
9,4,Maintenance,Reviewed,True,Completed the requested action successfully.,2025-07-12 02:44:27.571278,Resolved
10,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-02 10:50:19.429561,
10,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-04-02 13:16:21.626637,
10,3,Maintenance,Reviewed,True,On hold due to resource availability.,2025-04-04 14:25:23.289104,Unresolved
11,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-16 11:13:27.111275,
11,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Appreciation.",2025-04-16 15:33:57.620377,
11,3,Customer Support,Reviewed,True,Issue verified and resolved after review.,2025-04-18 05:13:40.516148,Resolved
12,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-18 11:57:31.359081,
12,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-09-18 18:20:21.276245,
12,3,Operations,Reviewed,True,Issue verified and resolved after review.,2025-09-20 03:13:36.313338,Resolved
13,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-03 15:59:16.757275,
13,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-07-03 18:55:13.193293,
13,3,Operations,Reviewed,True,Waiting on additional information from the customer.,2025-07-05 16:34:54.772552,Unresolved
14,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-13 09:10:14.372023,
14,2,Security,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Safety Concern.",2025-08-13 14:46:20.838485,
14,3,Security,Reviewed,True,Corrected the error and notified the customer.,2025-08-15 04:50:41.117171,Resolved
15,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-04 13:41:20.195969,
15,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Appreciation.",2025-08-04 19:43:27.163856,
15,3,Customer Support,Reviewed,True,Completed the requested action successfully.,2025-08-06 13:43:10.057659,Resolved
16,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-03-01 18:35:19.935161,
16,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-03-01 20:51:07.315965,
16,3,Billing,Reviewed,True,Corrected the error and notified the customer.,2025-03-04 21:02:05.886674,Resolved
17,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-11-28 15:34:09.038459,
17,2,Security,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Safety Concern.",2025-11-28 19:33:15.668491,
17,3,Security,Reviewed,True,On hold due to resource availability.,2025-12-01 09:55:02.280983,Unresolved
18,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-25 08:04:36.678415,
18,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-07-25 11:58:51.805072,
18,3,Billing,Reviewed,True,Resolved following standard procedure.,2025-07-25 16:06:44.387914,Resolved
19,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-12-27 15:07:31.074446,
19,2,Operations,Forwarded (Incorrect),False,"Not within our scope, sending to the relevant department.",2025-12-27 21:05:27.813168,
19,3,Customer Support,Forwarded (Re-routed),True,Re-routed from Operations; now correctly assigned for Staff Behavior.,2025-12-28 11:34:40.696135,
19,4,Customer Support,Reviewed,True,"Still under investigation, pending further review.",2025-12-31 07:37:29.041652,Unresolved
20,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-10-25 10:28:55.403329,
20,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-10-25 16:15:44.832459,
20,3,Billing,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-10-26 01:09:01.054810,Resolved
21,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-28 16:19:12.552364,
21,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Appreciation.",2025-04-28 21:28:05.938485,
21,3,Customer Support,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-04-29 23:05:57.817369,Resolved
22,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-13 14:38:00.401637,
22,2,Security,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Safety Concern.",2025-09-13 22:14:55.616877,
22,3,Security,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-09-17 08:18:05.988610,Resolved
23,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-11 06:00:50.696135,
23,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Staff Behavior.",2025-04-11 12:54:15.909350,
23,3,Customer Support,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-04-12 04:57:59.754096,Resolved
24,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-02 19:36:11.738216,
24,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-04-02 23:50:39.247349,
24,3,Billing,Reviewed,True,Waiting on additional information from the customer.,2025-04-06 00:05:39.040215,Unresolved
25,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-24 12:00:23.044564,
25,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-07-24 13:57:52.322758,
25,3,Maintenance,Reviewed,True,Corrected the error and notified the customer.,2025-07-26 01:34:11.621396,Resolved
26,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-03-04 14:24:59.075001,
26,2,Administration,Forwarded (Incorrect),False,"Not within our scope, sending to the relevant department.",2025-03-04 17:31:09.631390,
26,3,Security,Forwarded (Re-routed),True,Re-routed from Administration; now correctly assigned for Safety Concern.,2025-03-05 00:49:45.732224,
26,4,Security,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-03-06 19:00:01.199300,Resolved
27,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-21 14:03:05.145297,
27,2,Administration,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Corruption/Bribery.",2025-08-21 20:28:32.634768,
27,3,Administration,Reviewed,True,Requires field visit before it can be closed.,2025-08-25 01:44:37.234867,Unresolved
28,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-05 10:32:33.148476,
28,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-07-05 14:46:01.031939,
28,3,Operations,Reviewed,True,"Still under investigation, pending further review.",2025-07-08 18:21:45.376770,Unresolved
29,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-02-21 23:21:09.056431,
29,2,Maintenance,Forwarded (Incorrect),False,"This complaint does not belong to our department, forwarding to the correct team.",2025-02-22 05:04:37.009432,
29,3,Customer Support,Forwarded (Re-routed),True,Re-routed from Maintenance; now correctly assigned for Staff Behavior.,2025-02-23 01:05:11.500960,
29,4,Customer Support,Reviewed,True,Resolved following standard procedure.,2025-02-26 19:29:05.181316,Resolved
30,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-28 19:35:38.085737,
30,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-07-29 02:43:25.013204,
30,3,Billing,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-07-30 08:10:02.702800,Resolved
31,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-12-26 08:29:14.229176,
31,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Appreciation.",2025-12-26 15:03:52.605291,
31,3,Customer Support,Reviewed,True,"Still under investigation, pending further review.",2025-12-29 13:03:03.232621,Unresolved
32,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-02 09:59:46.489392,
32,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-04-02 15:36:26.945518,
32,3,Billing,Reviewed,True,Completed the requested action successfully.,2025-04-03 01:58:43.231105,Resolved
33,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-28 12:19:42.363098,
33,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-07-28 19:01:05.667762,
33,3,Billing,Reviewed,True,Escalated to senior staff for further action.,2025-07-30 14:22:01.508461,Unresolved
34,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-22 12:09:23.004353,
34,2,Administration,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Corruption/Bribery.",2025-08-22 18:15:12.668688,
34,3,Administration,Reviewed,True,Escalated to senior staff for further action.,2025-08-26 01:48:23.252559,Unresolved
35,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-14 19:14:41.923421,
35,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-08-14 20:17:41.933958,
35,3,Maintenance,Reviewed,True,Completed the requested action successfully.,2025-08-16 14:57:30.997270,Resolved
36,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-13 12:06:47.851731,
36,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-04-13 13:30:06.439209,
36,3,Billing,Reviewed,True,Issue verified and resolved after review.,2025-04-15 19:18:52.073359,Resolved
37,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-01-20 09:51:17.151940,
37,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Appreciation.",2025-01-20 16:39:14.172454,
37,3,Customer Support,Reviewed,True,Resolved following standard procedure.,2025-01-24 11:18:01.402079,Resolved
38,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-12-03 17:16:36.531321,
38,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Staff Behavior.",2025-12-03 19:53:23.384316,
38,3,Customer Support,Reviewed,True,"Still under investigation, pending further review.",2025-12-06 12:31:56.645426,Unresolved
39,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-05-26 08:02:06.122084,
39,2,Billing,Forwarded (Incorrect),False,"Not within our scope, sending to the relevant department.",2025-05-26 10:36:12.903735,
39,3,Administration,Forwarded (Re-routed),True,Re-routed from Billing; now correctly assigned for Corruption/Bribery.,2025-05-27 02:06:03.010041,
39,4,Administration,Reviewed,True,Completed the requested action successfully.,2025-05-27 21:41:49.267286,Resolved
40,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-12-05 16:51:10.454235,
40,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Appreciation.",2025-12-05 23:51:06.240013,
40,3,Customer Support,Reviewed,True,Requires field visit before it can be closed.,2025-12-06 06:56:59.136544,Unresolved
41,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-11 17:19:43.290466,
41,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-04-11 23:54:26.464674,
41,3,Operations,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-04-15 21:37:12.727073,Resolved
42,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-02-14 08:30:15.928777,
42,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Staff Behavior.",2025-02-14 10:41:17.275574,
42,3,Customer Support,Reviewed,True,Escalated to senior staff for further action.,2025-02-17 23:20:40.623650,Unresolved
43,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-03-15 13:24:38.808052,
43,2,Billing,Forwarded (Incorrect),False,"Incorrectly routed here, reassigning to the appropriate department.",2025-03-15 15:47:36.636867,
43,3,Maintenance,Forwarded (Re-routed),True,Re-routed from Billing; now correctly assigned for Infrastructure.,2025-03-16 04:37:26.778342,
43,4,Maintenance,Reviewed,True,Corrected the error and notified the customer.,2025-03-19 02:47:36.463671,Resolved
44,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-27 09:05:22.160886,
44,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-07-27 11:16:02.698581,
44,3,Billing,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-07-30 04:26:40.419095,Resolved
45,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-11-26 12:33:05.594542,
45,2,Administration,Forwarded (Incorrect),False,"This complaint does not belong to our department, forwarding to the correct team.",2025-11-26 17:23:58.390386,
45,3,Billing,Forwarded (Re-routed),True,Re-routed from Administration; now correctly assigned for Billing Issue.,2025-11-27 00:41:37.989818,
45,4,Billing,Reviewed,True,Waiting on additional information from the customer.,2025-11-27 07:57:45.129978,Unresolved
46,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-28 11:04:05.691314,
46,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-09-28 17:43:24.036645,
46,3,Maintenance,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-09-29 01:50:30.622237,Resolved
47,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-11-01 18:17:56.200894,
47,2,Maintenance,Forwarded (Incorrect),False,"Incorrectly routed here, reassigning to the appropriate department.",2025-11-01 21:49:48.940416,
47,3,Administration,Forwarded (Re-routed),True,Re-routed from Maintenance; now correctly assigned for Corruption/Bribery.,2025-11-02 03:06:09.744986,
47,4,Administration,Reviewed,True,Completed the requested action successfully.,2025-11-02 20:51:19.608647,Resolved
48,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-26 12:52:38.622118,
48,2,Security,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Safety Concern.",2025-04-26 17:33:01.562005,
48,3,Security,Reviewed,True,Waiting on additional information from the customer.,2025-04-29 13:38:47.244810,Unresolved
49,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-05-27 09:44:41.045892,
49,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-05-27 11:41:12.221450,
49,3,Operations,Reviewed,True,Completed the requested action successfully.,2025-05-28 22:10:17.729721,Resolved
50,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-11-25 14:30:17.965643,
50,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-11-25 22:05:22.632757,
50,3,Operations,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-11-29 21:24:17.749347,Resolved
51,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-02-09 16:44:32.563950,
51,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-02-09 17:48:59.177605,
51,3,Operations,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-02-13 02:14:07.253574,Resolved
52,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-05-26 13:11:38.032494,
52,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-05-26 17:24:14.840184,
52,3,Billing,Reviewed,True,Corrected the error and notified the customer.,2025-05-29 20:22:36.544703,Resolved
53,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-03-02 06:29:44.801393,
53,2,Administration,Forwarded (Incorrect),False,"This complaint does not belong to our department, forwarding to the correct team.",2025-03-02 11:45:47.094311,
53,3,Operations,Forwarded (Re-routed),True,Re-routed from Administration; now correctly assigned for Service Delay.,2025-03-03 09:12:56.251497,
53,4,Operations,Reviewed,True,Corrected the error and notified the customer.,2025-03-03 15:24:52.933755,Resolved
54,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-06-03 14:18:57.711307,
54,2,Security,Forwarded (Incorrect),False,"This complaint does not belong to our department, forwarding to the correct team.",2025-06-03 17:15:23.644791,
54,3,Maintenance,Forwarded (Re-routed),True,Re-routed from Security; now correctly assigned for Infrastructure.,2025-06-03 23:40:09.179629,
54,4,Maintenance,Reviewed,True,Resolved following standard procedure.,2025-06-07 15:27:17.475689,Resolved
55,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-22 18:35:28.204584,
55,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-07-23 00:17:56.742528,
55,3,Maintenance,Reviewed,True,Waiting on additional information from the customer.,2025-07-23 10:51:44.446948,Unresolved
56,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-06 10:26:07.738577,
56,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-08-06 14:21:43.847052,
56,3,Billing,Reviewed,True,Resolved following standard procedure.,2025-08-07 11:03:04.947588,Resolved
57,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-06-19 10:43:23.736466,
57,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-06-19 15:28:05.528841,
57,3,Operations,Reviewed,True,Resolved following standard procedure.,2025-06-21 00:38:10.462538,Resolved
58,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-26 09:17:01.682327,
58,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-07-26 11:24:18.783075,
58,3,Maintenance,Reviewed,True,On hold due to resource availability.,2025-07-27 09:06:57.505195,Unresolved
59,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-05-27 11:34:24.855363,
59,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-05-27 15:13:19.933925,
59,3,Maintenance,Reviewed,True,"Still under investigation, pending further review.",2025-05-28 14:12:01.809598,Unresolved
60,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-16 10:29:43.970963,
60,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-04-16 17:17:31.928916,
60,3,Billing,Reviewed,True,Completed the requested action successfully.,2025-04-17 07:07:29.506614,Resolved
61,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-23 17:12:07.283663,
61,2,Administration,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Corruption/Bribery.",2025-04-23 19:49:50.595273,
61,3,Administration,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-04-25 17:19:47.828570,Resolved
62,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-08 09:48:30.009554,
62,2,Administration,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Corruption/Bribery.",2025-09-08 14:19:15.543210,
62,3,Administration,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-09-12 07:12:01.707509,Resolved
63,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-11-04 17:18:36.376190,
63,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-11-04 22:51:39.610071,
63,3,Billing,Reviewed,True,"Still under investigation, pending further review.",2025-11-07 09:39:29.322703,Unresolved
64,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-12-15 20:10:43.362358,
64,2,Administration,Forwarded (Incorrect),False,"Incorrectly routed here, reassigning to the appropriate department.",2025-12-15 21:36:37.328678,
64,3,Customer Support,Forwarded (Re-routed),True,Re-routed from Administration; now correctly assigned for Appreciation.,2025-12-16 16:30:24.633183,
64,4,Customer Support,Reviewed,True,Corrected the error and notified the customer.,2025-12-20 11:33:51.220263,Resolved
65,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-06-06 12:01:48.347334,
65,2,Security,Forwarded (Incorrect),False,"This complaint does not belong to our department, forwarding to the correct team.",2025-06-06 15:02:35.361875,
65,3,Administration,Forwarded (Re-routed),True,Re-routed from Security; now correctly assigned for Corruption/Bribery.,2025-06-07 08:29:25.945602,
65,4,Administration,Reviewed,True,Issue verified and resolved after review.,2025-06-10 05:59:56.503784,Resolved
66,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-17 12:51:50.119960,
66,2,Operations,Forwarded (Incorrect),False,"Not within our scope, sending to the relevant department.",2025-09-17 14:53:32.763915,
66,3,Administration,Forwarded (Re-routed),True,Re-routed from Operations; now correctly assigned for Corruption/Bribery.,2025-09-18 14:21:43.004830,
66,4,Administration,Reviewed,True,Issue verified and resolved after review.,2025-09-22 10:15:26.004073,Resolved
67,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-05-11 17:51:24.438644,
67,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-05-11 23:00:44.099345,
67,3,Maintenance,Reviewed,True,Completed the requested action successfully.,2025-05-12 06:39:29.083010,Resolved
68,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-03 11:24:42.258848,
68,2,Administration,Forwarded (Incorrect),False,"Not within our scope, sending to the relevant department.",2025-08-03 18:08:34.632662,
68,3,Operations,Forwarded (Re-routed),True,Re-routed from Administration; now correctly assigned for Service Delay.,2025-08-04 10:52:22.801317,
68,4,Operations,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-08-07 12:53:34.068603,Resolved
69,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-06-25 09:04:26.124712,
69,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-06-25 12:13:39.020382,
69,3,Billing,Reviewed,True,Resolved following standard procedure.,2025-06-26 14:53:44.595369,Resolved
70,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-05-13 12:07:56.975982,
70,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Staff Behavior.",2025-05-13 13:46:32.978257,
70,3,Customer Support,Reviewed,True,Completed the requested action successfully.,2025-05-17 04:10:19.005360,Resolved
71,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-10-08 14:29:41.967444,
71,2,Security,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Safety Concern.",2025-10-08 18:36:31.239041,
71,3,Security,Reviewed,True,"Still under investigation, pending further review.",2025-10-09 08:14:31.622784,Unresolved
72,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-27 16:53:04.743613,
72,2,Maintenance,Forwarded (Incorrect),False,"Incorrectly routed here, reassigning to the appropriate department.",2025-09-27 23:36:10.472270,
72,3,Operations,Forwarded (Re-routed),True,Re-routed from Maintenance; now correctly assigned for Service Delay.,2025-09-28 16:11:38.084615,
72,4,Operations,Reviewed,True,Confirmed with the customer that the issue is fixed.,2025-09-29 18:27:35.972207,Resolved
73,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-07-22 22:36:32.277736,
73,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-07-23 00:37:43.399457,
73,3,Billing,Reviewed,True,"Still under investigation, pending further review.",2025-07-26 08:44:17.319615,Unresolved
74,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-06-07 10:41:12.024735,
74,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-06-07 13:42:44.219587,
74,3,Billing,Reviewed,True,Escalated to senior staff for further action.,2025-06-09 16:55:50.433615,Unresolved
75,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-04-03 13:47:41.343597,
75,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-04-03 16:36:17.798962,
75,3,Operations,Reviewed,True,Requires field visit before it can be closed.,2025-04-07 02:31:13.251786,Unresolved
76,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-21 10:56:01.375367,
76,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-09-21 18:10:48.279290,
76,3,Operations,Reviewed,True,Corrected the error and notified the customer.,2025-09-25 03:02:35.466742,Resolved
77,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-03-05 10:47:19.536997,
77,2,Administration,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Corruption/Bribery.",2025-03-05 16:18:45.140555,
77,3,Administration,Reviewed,True,Corrected the error and notified the customer.,2025-03-07 00:52:40.940978,Resolved
78,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-06 15:09:57.723867,
78,2,Customer Support,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Staff Behavior.",2025-09-06 19:57:52.041635,
78,3,Customer Support,Reviewed,True,Completed the requested action successfully.,2025-09-08 18:03:48.788920,Resolved
79,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-12-04 08:25:04.308806,
79,2,Security,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Safety Concern.",2025-12-04 09:49:07.098513,
79,3,Security,Reviewed,True,On hold due to resource availability.,2025-12-06 17:05:30.696200,Unresolved
80,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-02-23 11:36:22.911919,
80,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-02-23 12:51:11.799994,
80,3,Operations,Reviewed,True,Completed the requested action successfully.,2025-02-26 14:10:37.133388,Resolved
