complaint_id,original_id,complaint_text,category,department,status,customer_id,date_received,date_resolved,created_at,complaint_text_clean,resolution_time_hours,vader_label,vader_score,transformer_label,transformer_score,sentiment_label,sentiment_score,sentiment_model_used,predicted_category,category_confidence,final_category,complaint_hour,complaint_day_of_week,complaint_month,complaint_year
18,18,My bill amount doubled this month without any explanation.,,Billing,Resolved,CUST6310,2025-07-25 06:59:00,2025-07-26 03:37:41,2026-07-23 20:15:32,bill amount doubled month without explanation,20.64472222222222,Neutral,0.0,Negative,-0.9965940117836,Negative,-0.9965940117836,transformer,Billing Issue,0.9480403015534576,Billing Issue,6,Friday,July,2025
19,19,The staff at the counter was extremely rude to me today.,,Customer Support,In Progress,CUST2290,2025-12-27 14:51:00,,2026-07-23 20:15:32,staff counter extremely rude today,,Negative,-0.5095,Negative,-0.9993046522140504,Negative,-0.9993046522140504,transformer,Staff Behavior,0.8855267427573018,Staff Behavior,14,Saturday,December,2025
20,20,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST8787,2025-10-25 08:34:00,2025-10-26 21:02:03,2026-07-23 20:15:32,late fee applied paid time,36.4675,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,0.9481595449263228,Billing Issue,8,Saturday,October,2025
21,21,"Excellent service today, very satisfied with the response.",,Customer Support,Resolved,CUST9835,2025-04-28 15:38:00,2025-04-29 12:49:59,2026-07-23 20:15:32,excellent service today satisfied response,21.19972222222222,Positive,0.7778,Positive,0.9998507499694824,Positive,0.9998507499694824,transformer,Appreciation,0.8829288637486457,Appreciation,15,Monday,April,2025
22,22,No safety measures are in place despite previous warnings.,Safety Concern,Security,Resolved,CUST9479,2025-09-13 12:42:00,2025-09-17 06:12:50,2026-07-23 20:15:32,safety measures place despite previous warnings,89.51388888888889,Negative,-0.1139,Negative,-0.998145341873169,Negative,-0.998145341873169,transformer,Safety Concern,1.0,Safety Concern,12,Saturday,September,2025
23,23,I was treated very disrespectfully by the customer support agent.,,Customer Support,Resolved,CUST4608,2025-04-11 05:01:00,2025-04-12 22:33:16,2026-07-23 20:15:32,treated disrespectfully customer support agent,41.53777777777778,Positive,0.4019,Negative,-0.999445378780365,Negative,-0.999445378780365,transformer,Staff Behavior,0.9057271999777208,Staff Behavior,5,Friday,April,2025
24,24,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,In Progress,CUST5562,2025-04-02 18:55:00,,2026-07-23 20:15:32,overcharged last bill one responding,,Negative,-0.296,Negative,-0.99962055683136,Negative,-0.99962055683136,transformer,Billing Issue,1.0,Billing Issue,18,Wednesday,April,2025
25,25,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST4981,2025-07-24 10:59:00,2025-07-28 13:46:25,2026-07-23 20:15:32,major leakage fixed weeks,98.79027777777776,Neutral,0.0,Negative,-0.9974085688591005,Negative,-0.9974085688591005,transformer,Infrastructure,1.0,Infrastructure,10,Thursday,July,2025
26,26,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST8651,2025-03-04 13:42:00,2025-03-09 23:00:42,2026-07-23 20:15:32,security personnel checking ids properly gate,129.31166666666667,Positive,0.34,Negative,-0.9997747540473938,Negative,-0.9997747540473938,transformer,Safety Concern,1.0,Safety Concern,13,Tuesday,March,2025
27,27,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Open,CUST2790,2025-08-21 13:06:00,,2026-07-23 20:15:32,asked pay extra money get work done faster,,Negative,-0.1027,Negative,-0.9994475245475768,Negative,-0.9994475245475768,transformer,Corruption/Bribery,1.0,Corruption/Bribery,13,Thursday,August,2025
28,28,No technician has visited despite multiple requests.,Service Delay,Operations,In Progress,CUST2235,2025-07-05 09:27:00,,2026-07-23 20:15:32,technician visited despite multiple requests,,Negative,-0.296,Negative,-0.982450783252716,Negative,-0.982450783252716,transformer,Service Delay,1.0,Service Delay,9,Saturday,July,2025
29,29,The staff member was polite and handled my issue very well.,Staff Behavior,Customer Support,Closed,CUST4872,2025-02-21 21:34:00,2025-02-25 03:51:48,2026-07-23 20:15:32,staff member polite handled issue well,78.29666666666667,Positive,0.3384,Positive,0.9998146891593932,Positive,0.9998146891593932,transformer,Staff Behavior,1.0,Staff Behavior,21,Friday,February,2025
30,30,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST1035,2025-07-28 19:25:00,2025-07-31 12:20:47,2026-07-23 20:15:32,late fee applied paid time,64.92972222222222,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,0.9481595449263228,Billing Issue,19,Monday,July,2025
31,31,"The new online system has made things much easier, well done.",Appreciation,Customer Support,In Progress,CUST8973,2025-12-26 07:29:00,,2026-07-23 20:15:32,new online system made things much easier well done,,Positive,0.5994,Positive,0.9995688796043396,Positive,0.9995688796043396,transformer,Appreciation,1.0,Appreciation,7,Friday,December,2025
32,32,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST6138,2025-04-02 09:37:00,2025-04-04 07:23:46,2026-07-23 20:15:32,billing error already paid still shows unpaid,45.77944444444445,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer,Billing Issue,0.9345149684603592,Billing Issue,9,Wednesday,April,2025
33,33,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,In Progress,CUST2312,2025-07-28 11:33:00,,2026-07-23 20:15:32,online payment portal charged twice bill,,Negative,-0.2023,Negative,-0.9943894743919371,Negative,-0.9943894743919371,transformer,Billing Issue,1.0,Billing Issue,11,Monday,July,2025
34,34,I was asked to pay extra money to get my work done faster.,,Administration,In Progress,CUST5033,2025-08-22 10:55:00,,2026-07-23 20:15:32,asked pay extra money get work done faster,,Negative,-0.1027,Negative,-0.9994475245475768,Negative,-0.9994475245475768,transformer,Corruption/Bribery,0.8813187258092929,Corruption/Bribery,10,Friday,August,2025
35,35,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Resolved,CUST5272,2025-08-14 17:42:00,2025-08-22 01:36:42,2026-07-23 20:15:32,road near facility damaged causing accidents,175.91166666666666,Negative,-0.6369,Negative,-0.9993550181388856,Negative,-0.9993550181388856,transformer,Infrastructure,1.0,Infrastructure,17,Thursday,August,2025
36,36,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST6180,2025-04-13 11:08:00,2025-04-15 17:43:50,2026-07-23 20:15:32,billing error already paid still shows unpaid,54.59722222222222,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer,Billing Issue,0.9345149684603592,Billing Issue,11,Sunday,April,2025
37,37,I want to thank the team for resolving my issue so quickly.,,Customer Support,Closed,CUST4492,2025-01-20 08:36:00,2025-01-20 15:40:29,2026-07-23 20:15:32,want thank team resolving issue quickly,7.074722222222222,Positive,0.6597,Positive,0.9981899857521056,Positive,0.9981899857521056,transformer,Appreciation,0.8944524369271923,Appreciation,8,Monday,January,2025
38,38,I was treated very disrespectfully by the customer support agent.,,Customer Support,In Progress,CUST8179,2025-12-03 16:56:00,,2026-07-23 20:15:32,treated disrespectfully customer support agent,,Positive,0.4019,Negative,-0.999445378780365,Negative,-0.999445378780365,transformer,Staff Behavior,0.9057271999777208,Staff Behavior,16,Wednesday,December,2025
39,39,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Resolved,CUST5905,2025-05-26 07:41:00,2025-06-03 00:36:38,2026-07-23 20:15:32,clear favoritism table dealing happening,184.9272222222222,Positive,0.5106,Positive,0.993443727493286,Positive,0.993443727493286,transformer,Corruption/Bribery,1.0,Corruption/Bribery,7,Monday,May,2025
40,40,I want to thank the team for resolving my issue so quickly.,,Customer Support,Open,CUST3546,2025-12-05 15:16:00,,2026-07-23 20:15:32,want thank team resolving issue quickly,,Positive,0.6597,Positive,0.9981899857521056,Positive,0.9981899857521056,transformer,Appreciation,0.8944524369271923,Appreciation,15,Friday,December,2025
41,41,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Closed,CUST9280,2025-04-11 16:13:00,2025-04-18 10:49:42,2026-07-23 20:15:32,staff keep telling wait nothing happens,162.61166666666668,Neutral,0.0,Negative,-0.9984003901481628,Negative,-0.9984003901481628,transformer,Service Delay,1.0,Service Delay,16,Friday,April,2025
42,42,The staff at the counter was extremely rude to me today.,,Customer Support,In Progress,CUST3143,2025-02-14 07:53:00,,2026-07-23 20:15:32,staff counter extremely rude today,,Negative,-0.5095,Negative,-0.9993046522140504,Negative,-0.9993046522140504,transformer,Staff Behavior,0.8855267427573018,Staff Behavior,7,Friday,February,2025
43,43,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Closed,CUST2832,2025-03-15 11:35:00,2025-03-18 18:55:51,2026-07-23 20:15:32,equipment site old frequently malfunctions,79.3475,Neutral,0.0,Negative,-0.9997950196266174,Negative,-0.9997950196266174,transformer,Infrastructure,1.0,Infrastructure,11,Saturday,March,2025
44,44,My bill amount doubled this month without any explanation.,,Billing,Resolved,CUST3088,2025-07-27 07:23:00,2025-07-30 04:29:47,2026-07-23 20:15:32,bill amount doubled month without explanation,69.11305555555556,Neutral,0.0,Negative,-0.9965940117836,Negative,-0.9965940117836,transformer,Billing Issue,0.9480403015534576,Billing Issue,7,Sunday,July,2025
45,45,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Open,CUST5088,2025-11-26 10:55:00,,2026-07-23 20:15:32,billing error already paid still shows unpaid,,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer,Billing Issue,1.0,Billing Issue,10,Wednesday,November,2025
46,46,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Closed,CUST4878,2025-09-28 10:26:00,2025-10-09 11:26:07,2026-07-23 20:15:32,equipment site old frequently malfunctions,265.00194444444446,Neutral,0.0,Negative,-0.9997950196266174,Negative,-0.9997950196266174,transformer,Infrastructure,1.0,Infrastructure,10,Sunday,September,2025
47,47,I was asked to pay extra money to get my work done faster.,,Administration,Closed,CUST7745,2025-11-01 18:11:00,2025-11-11 09:33:27,2026-07-23 20:15:32,asked pay extra money get work done faster,231.37416666666667,Negative,-0.1027,Negative,-0.9994475245475768,Negative,-0.9994475245475768,transformer,Corruption/Bribery,0.8813187258092929,Corruption/Bribery,18,Saturday,November,2025
48,48,No safety measures are in place despite previous warnings.,Safety Concern,Security,Open,CUST8711,2025-04-26 12:44:00,,2026-07-23 20:15:32,safety measures place despite previous warnings,,Negative,-0.1139,Negative,-0.998145341873169,Negative,-0.998145341873169,transformer,Safety Concern,1.0,Safety Concern,12,Saturday,April,2025
49,49,I have been waiting since last month for this issue to be fixed.,,Operations,Closed,CUST4164,2025-05-27 08:50:00,2025-06-03 07:32:08,2026-07-23 20:15:32,waiting since last month issue fixed,166.70222222222222,Neutral,0.0,Negative,-0.9983676075935364,Negative,-0.9983676075935364,transformer,Service Delay,0.9151028386070666,Service Delay,8,Tuesday,May,2025
50,50,The response time for service requests is unacceptably slow.,Service Delay,Operations,Resolved,CUST9785,2025-11-25 13:17:00,2025-12-02 03:28:18,2026-07-23 20:15:32,response time service requests unacceptably slow,158.18833333333333,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer,Service Delay,1.0,Service Delay,13,Tuesday,November,2025
51,51,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST1626,2025-02-09 16:11:00,2025-02-21 10:03:12,2026-07-23 20:15:32,three weeks complaint still resolved,281.87,Negative,-0.4055,Negative,-0.9996131062507628,Negative,-0.9996131062507628,transformer,Service Delay,1.0,Service Delay,16,Sunday,February,2025
52,52,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST2894,2025-05-26 11:20:00,2025-05-27 17:39:42,2026-07-23 20:15:32,late fee applied paid time,30.328333333333333,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,1.0,Billing Issue,11,Monday,May,2025
53,53,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Resolved,CUST9821,2025-03-02 04:45:00,2025-03-04 08:38:59,2026-07-23 20:15:32,staff keep telling wait nothing happens,51.89972222222222,Neutral,0.0,Negative,-0.9984003901481628,Negative,-0.9984003901481628,transformer,Service Delay,1.0,Service Delay,4,Sunday,March,2025
54,54,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST3041,2025-06-03 13:42:00,2025-06-15 09:05:57,2026-07-23 20:15:32,major leakage fixed weeks,283.39916666666664,Neutral,0.0,Negative,-0.9974085688591005,Negative,-0.9974085688591005,transformer,Infrastructure,1.0,Infrastructure,13,Tuesday,June,2025
55,55,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,In Progress,CUST3085,2025-07-22 18:26:00,,2026-07-23 20:15:32,equipment site old frequently malfunctions,,Neutral,0.0,Negative,-0.9997950196266174,Negative,-0.9997950196266174,transformer,Infrastructure,1.0,Infrastructure,18,Tuesday,July,2025
56,56,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST1006,2025-08-06 09:39:00,2025-08-09 14:01:32,2026-07-23 20:15:32,late fee applied paid time,76.37555555555555,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,1.0,Billing Issue,9,Wednesday,August,2025
57,57,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST8244,2025-06-19 09:38:00,2025-06-23 08:45:22,2026-07-23 20:15:32,technician visited despite multiple requests,95.12277777777778,Negative,-0.296,Negative,-0.982450783252716,Negative,-0.982450783252716,transformer,Service Delay,1.0,Service Delay,9,Thursday,June,2025
58,58,The new infrastructure upgrade has improved things significantly.,,Maintenance,In Progress,CUST9445,2025-07-26 07:47:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,,Positive,0.4767,Positive,0.9997418522834778,Positive,0.9997418522834778,transformer,Infrastructure,0.908071593935798,Infrastructure,7,Saturday,July,2025
59,59,The new infrastructure upgrade has improved things significantly.,,Maintenance,In Progress,CUST4262,2025-05-27 10:48:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,,Positive,0.4767,Positive,0.9997418522834778,Positive,0.9997418522834778,transformer,Infrastructure,0.908071593935798,Infrastructure,10,Tuesday,May,2025
60,60,I was overcharged on my last bill and no one is responding.,,Billing,Closed,CUST7790,2025-04-16 08:39:00,2025-04-19 02:13:32,2026-07-23 20:15:32,overcharged last bill one responding,65.57555555555555,Negative,-0.296,Negative,-0.99962055683136,Negative,-0.99962055683136,transformer,Billing Issue,0.9489422827244268,Billing Issue,8,Wednesday,April,2025
61,61,There is clear favoritism and under-the-table dealing happening.,,Administration,Resolved,CUST1090,2025-04-23 16:24:00,2025-04-30 18:07:30,2026-07-23 20:15:32,clear favoritism table dealing happening,169.725,Positive,0.5106,Positive,0.993443727493286,Positive,0.993443727493286,transformer,Corruption/Bribery,0.8928520889790805,Corruption/Bribery,16,Wednesday,April,2025
62,62,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Closed,CUST8611,2025-09-08 09:11:00,2025-09-14 21:00:28,2026-07-23 20:15:32,asked pay extra money get work done faster,155.82444444444445,Negative,-0.1027,Negative,-0.9994475245475768,Negative,-0.9994475245475768,transformer,Corruption/Bribery,1.0,Corruption/Bribery,9,Monday,September,2025
63,63,My bill amount doubled this month without any explanation.,Billing Issue,Billing,Open,CUST9702,2025-11-04 16:29:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,,Neutral,0.0,Negative,-0.9965940117836,Negative,-0.9965940117836,transformer,Billing Issue,1.0,Billing Issue,16,Tuesday,November,2025
64,64,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Closed,CUST7991,2025-12-15 18:39:00,2025-12-17 03:56:56,2026-07-23 20:15:32,new online system made things much easier well done,33.29888888888889,Positive,0.5994,Positive,0.9995688796043396,Positive,0.9995688796043396,transformer,Appreciation,1.0,Appreciation,18,Monday,December,2025
65,65,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Closed,CUST5050,2025-06-06 10:47:00,2025-06-12 01:23:07,2026-07-23 20:15:32,clear favoritism table dealing happening,134.60194444444446,Positive,0.5106,Positive,0.993443727493286,Positive,0.993443727493286,transformer,Corruption/Bribery,1.0,Corruption/Bribery,10,Friday,June,2025
66,66,An official demanded a bribe before processing my documents.,,Administration,Resolved,CUST2269,2025-09-17 11:31:00,2025-09-22 19:26:49,2026-07-23 20:15:32,official demanded bribe processing documents,127.93027777777776,Negative,-0.4019,Negative,-0.999240517616272,Negative,-0.999240517616272,transformer,Corruption/Bribery,0.8847622822926116,Corruption/Bribery,11,Wednesday,September,2025
67,67,There is a major leakage that has not been fixed for weeks.,,Maintenance,Resolved,CUST4788,2025-05-11 16:57:00,2025-05-11 17:57:00,2026-07-23 20:15:32,major leakage fixed weeks,1.0,Neutral,0.0,Negative,-0.9974085688591005,Negative,-0.9974085688591005,transformer,Infrastructure,0.9079183993886076,Infrastructure,16,Sunday,May,2025
68,68,No technician has visited despite multiple requests.,Service Delay,Operations,Resolved,CUST7812,2025-08-03 09:26:00,2025-08-09 02:01:05,2026-07-23 20:15:32,technician visited despite multiple requests,136.5847222222222,Negative,-0.296,Negative,-0.982450783252716,Negative,-0.982450783252716,transformer,Service Delay,1.0,Service Delay,9,Sunday,August,2025
69,69,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST7232,2025-06-25 08:37:00,2025-06-27 17:18:46,2026-07-23 20:15:32,late fee applied paid time,56.69611111111111,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,0.9481595449263228,Billing Issue,8,Wednesday,June,2025
70,70,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST9818,2025-05-13 10:54:00,2025-05-16 06:07:02,2026-07-23 20:15:32,employee refused help arguing instead assisting,67.21722222222222,Negative,-0.3612,Negative,-0.9993220567703248,Negative,-0.9993220567703248,transformer,Staff Behavior,1.0,Staff Behavior,10,Tuesday,May,2025
71,71,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,In Progress,CUST1475,2025-10-08 13:31:00,,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,,Positive,0.6486,Positive,0.9871915578842164,Positive,0.9871915578842164,transformer,Safety Concern,1.0,Safety Concern,13,Wednesday,October,2025
72,72,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Closed,CUST9751,2025-09-27 15:29:00,2025-10-03 03:50:44,2026-07-23 20:15:32,waiting since last month issue fixed,132.3622222222222,Neutral,0.0,Negative,-0.9983676075935364,Negative,-0.9983676075935364,transformer,Service Delay,1.0,Service Delay,15,Saturday,September,2025
73,73,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Open,CUST8564,2025-07-22 21:01:00,,2026-07-23 20:15:32,late fee applied paid time,,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,1.0,Billing Issue,21,Tuesday,July,2025
74,74,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,In Progress,CUST7211,2025-06-07 09:29:00,,2026-07-23 20:15:32,billing error already paid still shows unpaid,,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer,Billing Issue,1.0,Billing Issue,9,Saturday,June,2025
75,75,I have been waiting since last month for this issue to be fixed.,Service Delay,Operations,Open,CUST6733,2025-04-03 12:30:00,,2026-07-23 20:15:32,waiting since last month issue fixed,,Neutral,0.0,Negative,-0.9983676075935364,Negative,-0.9983676075935364,transformer,Service Delay,1.0,Service Delay,12,Thursday,April,2025
76,76,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Closed,CUST4266,2025-09-21 10:02:00,2025-09-26 06:27:35,2026-07-23 20:15:32,three weeks complaint still resolved,116.4263888888889,Negative,-0.4055,Negative,-0.9996131062507628,Negative,-0.9996131062507628,transformer,Service Delay,1.0,Service Delay,10,Sunday,September,2025
77,77,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Closed,CUST4571,2025-03-05 10:30:00,2025-03-11 22:38:27,2026-07-23 20:15:32,clear favoritism table dealing happening,156.14083333333335,Positive,0.5106,Positive,0.993443727493286,Positive,0.993443727493286,transformer,Corruption/Bribery,1.0,Corruption/Bribery,10,Wednesday,March,2025
78,78,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Resolved,CUST2876,2025-09-06 13:38:00,2025-09-09 01:10:27,2026-07-23 20:15:32,employee refused help arguing instead assisting,59.54083333333333,Negative,-0.3612,Negative,-0.9993220567703248,Negative,-0.9993220567703248,transformer,Staff Behavior,1.0,Staff Behavior,13,Saturday,September,2025
79,79,No safety measures are in place despite previous warnings.,,Security,Open,CUST7149,2025-12-04 06:37:00,,2026-07-23 20:15:32,safety measures place despite previous warnings,,Negative,-0.1139,Negative,-0.998145341873169,Negative,-0.998145341873169,transformer,Safety Concern,0.9038844706711636,Safety Concern,6,Thursday,December,2025
80,80,No technician has visited despite multiple requests.,,Operations,Resolved,CUST5941,2025-02-23 10:53:00,2025-02-28 01:39:00,2026-07-23 20:15:32,technician visited despite multiple requests,110.76666666666668,Negative,-0.296,Negative,-0.982450783252716,Negative,-0.982450783252716,transformer,Service Delay,0.9333926417018912,Service Delay,10,Sunday,February,2025
81,81,There is clear favoritism and under-the-table dealing happening.,,Administration,Closed,CUST8018,2025-10-26 08:36:00,2025-11-02 08:41:34,2026-07-23 20:15:32,clear favoritism table dealing happening,168.09277777777777,Positive,0.5106,Positive,0.993443727493286,Positive,0.993443727493286,transformer,Corruption/Bribery,0.8928520889790805,Corruption/Bribery,8,Sunday,October,2025
